eid	eid
41270	Diagnoses - ICD10
120114	Persistent or recurrent tiredness, weariness or fatigue that has lasted for at least 6 months
2966	Age high blood pressure diagnosed
34	Year of birth
120115	Tiredness, weariness or fatigue goes away when resting
2306	Weight change compared with 1 year ago
21001	Body mass index (BMI)
20116	Smoking Status
21028	Frequency of discomfort/pain getting better or stopping after a bowel movement
21040	Satisfaction with bowel habits
20107	Illnesses of father
20110	Illnesses of mother
20111	Illnesses of siblings
21027	Abdominal discomfort/pain for 6 months or longer
21068	Diagnosed with coeliac disease or gluten sensitivity
21064	Sensitive stomach
30010	Red blood cell (erythrocyte) count
30000	White blood cell (leukocyte) count
30020	Haemoglobin concentration
23099	Body fat percentage
23127	Trunk fat percentage
30510	Creatinine (enzymatic) in urine
30500	Microalbumin in urine
30520	Potassium in urine
30530	Sodium in urine
30160	Basophill count
30220	Basophill percentage
30150	Eosinophill count
30210	Eosinophill percentage
30030	Haematocrit percentage
30280	Immature reticulocyte fraction
30120	Lymphocyte count
30180	Lymphocyte percentage
30050	Mean corpuscular haemoglobin
30060	Mean corpuscular haemoglobin concentration
30040	Mean corpuscular volume
30100	Mean platelet (thrombocyte) volume
30260	Mean reticulocyte volume
30130	Monocyte count
30190	Monocyte percentage
30140	Neutrophill count
30200	Neutrophill percentage
30170	Nucleated red blood cell count
30230	Nucleated red blood cell percentage
30080	Platelet count
30090	Platelet crit
30250	Reticulocyte count
30240	Reticulocyte percentage
30620	Alanine aminotransferase
30600	Albumin
30610	Alkaline phosphatase
30630	Apolipoprotein A
30640	Apolipoprotein B
30650	Aspartate aminotransferase
30710	C-reactive protein
30680	Calcium
30690	Cholesterol
30700	Creatinine
30720	Cystatin C
30660	Direct bilirubin
30730	Gamma glutamyltransferase
30740	Glucose
30750	Glycated haemoglobin (HbA1c)
30760	HDL cholesterol
30770	IGF-1
30780	LDL direct
30790	Lipoprotein A
30800	Oestradiol
30810	Phosphate
30820	Rheumatoid factor
30830	SHBG
30850	Testosterone
30840	Total bilirubin
30860	Total protein
30870	Triglycerides
30880	Urate
30670	Urea
30890	Vitamin D
894	Duration of moderate activity
1001	Duration of strenuous sports
914	Duration of vigorous activity
874	Duration of walks
884	Number of days/week of moderate physical activity 10+ minutes
904	Number of days/week of vigorous physical activity 10+ minutes
1090	Time spent driving
1080	Time spent using computer
1070	Time spent watching television (TV)
1528	Water intake
1558	Alcohol intake frequency
1920	Mood swings
1990	Tense / 'highly strung'
2020	Loneliness, isolation
1349	Processed meat intake
23000	1gG antigen for Herpes Simplex virus-1
23001	2mgG unique antigen for Herpes Simplex virus-2
23049	Antigen assay QC indicator
23026	BK VP1 antigen for Human Polyomavirus BKV
23039	CagA antigen for Helicobacter pylori
23043	Catalase antigen for Helicobacter pylori
23018	Core antigen for Hepatitis C Virus
23030	E6 antigen for Human Papillomavirus type-16
23031	E7 antigen for Human Papillomavirus type-16
23006	EA-D antigen for Epstein-Barr Virus
23004	EBNA-1 antigen for Epstein-Barr Virus
23042	GroEL antigen for Helicobacter pylori
23016	HBc antigen for Hepatitis B Virus
23017	HBe antigen for Hepatitis B Virus
23025	HIV-1 env antigen for Human Immunodeficiency Virus
23024	HIV-1 gag antigen for Human Immunodeficiency Virus
23023	HTLV-1 env antigen for Human T-Lymphotropic Virus 1
23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1
23010	IE1A antigen for Human Herpesvirus-6
23011	IE1B antigen for Human Herpesvirus-6
23027	JC VP1 antigen for Human Polyomavirus JCV
23015	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus
23029	L1 antigen for Human Papillomavirus type-16
23032	L1 antigen for Human Papillomavirus type-18
23014	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus
23028	MC VP1 antigen for Merkel Cell Polyomavirus
23019	NS3 antigen for Hepatitis C Virus
23041	OMP antigen for Helicobacter pylori
23037	PorB antigen for Chlamydia trachomatis
23013	U14 antigen for Human Herpesvirus-7
23044	UreA antigen for Helicobacter pylori
23003	VCA p18 antigen for Epstein-Barr Virus
23040	VacA antigen for Helicobacter pylori
23005	ZEBRA antigen for Epstein-Barr Virus
23002	gE / gI antigen for Varicella Zoster Virus
23034	momp A antigen for Chlamydia trachomatis
23033	momp D antigen for Chlamydia trachomatis
23012	p101 k antigen for Human Herpesvirus-6
23020	p22 antigen for Toxoplasma gondii
23038	pGP3 antigen for Chlamydia trachomatis
23009	pp 28 antigen for Human Cytomegalovirus
23008	pp 52 antigen for Human Cytomegalovirus
23007	pp150 Nter antigen for Human Cytomegalovirus
23021	sag1 antigen for Toxoplasma gondii
23035	tarp-D F1 antigen for Chlamydia trachomatis
23036	tarp-D F2 antigen for Chlamydia trachomatis
23526	Cholesterol in IDL
23418	Cholesteryl Esters in HDL
23527	Cholesteryl Esters in IDL
23417	Cholesteryl Esters in LDL
23416	Cholesteryl Esters in VLDL
23422	Free Cholesterol in HDL
23528	Free Cholesterol in IDL
23421	Free Cholesterol in LDL
23420	Free Cholesterol in VLDL
23405	LDL Cholesterol
